id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
521,01-01-2012,Bank of Maharashtra,122,5.83,
522,01-01-2012,Barclays Bank PLC,3553,92.96,
523,01-01-2012,Canara Bank,2200,75.72,
524,01-01-2012,Catholic Syrian Bank,100,0.3,
525,01-01-2012,Central Bank of India,6,0.08,
526,01-01-2012,Citi Bank,42110,1780.37,
527,01-01-2012,City Union Bank,1207,46.72,
528,01-01-2012,Corporation Bank,1753,10.73,
529,01-01-2012,Dena Bank,57,2.75,
530,01-01-2012,Development Credit Bank,145,7.77,
531,01-01-2012,Dhanlaxmi Bank,307,9.44,
532,01-01-2012,Dombivli Nagrik Co-operative Bank,35,0.04,
533,01-01-2012,Federal Bank,3441,33.77,
534,01-01-2012,Greater Bombay Co-operative Bank,69,0.01,
535,01-01-2012,HDFC Bank,13149,169,
536,01-01-2012,ICICI Bank,212737,5622.2,
537,01-01-2012,IDBI Bank,843,3.64,
538,01-01-2012,Indian Bank,953,44.58,
539,01-01-2012,Indian Overseas Bank,559,22.45,
540,01-01-2012,IndusInd Bank,842,21.17,
541,01-01-2012,ING Vysya Bank,14,0.59,
542,01-01-2012,Karnataka Bank,1376,1.17,
543,01-01-2012,Karur Vysya Bank,738,19.82,
544,01-01-2012,Kotak Mahindra Bank,313,18.94,
545,01-01-2012,Lakshmi Vilas Bank,741,11.11,
546,01-01-2012,Oriental Bank of Commerce,383,7.98,
547,01-01-2012,Punjab National Bank,339,12.42,
548,01-01-2012,South Indian Bank,2833,2.33,
549,01-01-2012,State Bank of Bikaner and Jaipur,9922,50.79,
550,01-01-2012,Standard Chartered Bank,5696,61.83,
551,01-01-2012,State Bank of Hyderabad,9530,48.05,
552,01-01-2012,State Bank of India,2363800,10005.79,
553,01-01-2012,State Bank of Mysore,2970,22.34,
554,01-01-2012,State Bank of Patiala,9645,37.09,
555,01-01-2012,State Bank of Travancore,26967,121.99,
556,01-01-2012,Syndicate Bank,391,6.79,
557,01-01-2012,Tamilnadu Mercantile Bank,122,1.89,
558,01-01-2012,Cosmos Co-operative Bank,46,0.04,
559,01-01-2012,UCO Bank,2001,27.3,
560,01-01-2012,Union Bank of India,25254,183.86,
561,01-01-2012,Vijaya Bank,3449,42.32,
562,01-01-2012,Yes Bank,53493,35.94,
563,01-02-2012,Allahabad Bank,179,6.9,
564,01-02-2012,Andhra Bank,3346,23.37,
565,01-02-2012,Axis Bank,24130,248.19,
566,01-02-2012,Bank of Baroda,16376,192.33,
567,01-02-2012,Bank of India,1463,6,
568,01-02-2012,Bank of Maharashtra,122,9.95,
569,01-02-2012,Barclays Bank PLC,2196,67.02,
570,01-02-2012,Canara Bank,2485,83.6,
571,01-02-2012,Catholic Syrian Bank,68,0.98,
572,01-02-2012,Central Bank of India,5,0.08,
573,01-02-2012,Citi Bank,44295,1932.63,
574,01-02-2012,City Union Bank,524,28.22,
575,01-02-2012,Corporation Bank,2645,14.97,
576,01-02-2012,Dena Bank,48,3.16,
577,01-02-2012,Development Credit Bank,240,11.84,
578,01-02-2012,Dhanlaxmi Bank,255,12.06,
579,01-02-2012,Dombivli Nagrik Co-operative Bank,53,0.17,
580,01-02-2012,Federal Bank,3388,35.73,
581,01-02-2012,Greater Bombay Co-operative Bank,51,1.1,
582,01-02-2012,HDFC Bank,17071,160.58,
583,01-02-2012,ICICI Bank,223866,6341.33,
584,01-02-2012,IDBI Bank,836,4.13,
585,01-02-2012,Indian Bank,1112,45.6,
586,01-02-2012,Indian Overseas Bank,1125,26.62,
587,01-02-2012,IndusInd Bank,1168,39.79,
588,01-02-2012,ING Vysya Bank,12,1.12,
589,01-02-2012,Karnataka Bank,2260,2,
590,01-02-2012,Karur Vysya Bank,959,23.84,
591,01-02-2012,Kotak Mahindra Bank,211,13.36,
592,01-02-2012,Lakshmi Vilas Bank,692,10.52,
593,01-02-2012,Oriental Bank of Commerce,270,8.34,
594,01-02-2012,Punjab National Bank,329,16.73,
595,01-02-2012,South Indian Bank,9935,18.44,
596,01-02-2012,State Bank of Bikaner and Jaipur,8774,39.93,
597,01-02-2012,Standard Chartered Bank,5748,64.35,
598,01-02-2012,State Bank of Hyderabad,8629,38.73,
599,01-02-2012,State Bank of India,2343199,9619.8,
600,01-02-2012,State Bank of Mysore,2760,20.07,
601,01-02-2012,State Bank of Patiala,7865,33.8,
602,01-02-2012,State Bank of Travancore,24077,103.49,
603,01-02-2012,Syndicate Bank,391,6.39,
604,01-02-2012,Tamilnadu Mercantile Bank,551,11.79,
605,01-02-2012,Cosmos Co-operative Bank,64,0.04,
606,01-02-2012,UCO Bank,2689,20.49,
607,01-02-2012,Union Bank of India,28262,208.51,
608,01-02-2012,Vijaya Bank,3642,45.4,
609,01-02-2012,Yes Bank,1188,0.67,
610,01-03-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,19,0,
611,01-03-2012,Allahabad Bank,181,4.75,
612,01-03-2012,Andhra Bank,3964,40,
613,01-03-2012,Axis Bank,25673,217.32,
614,01-03-2012,Bank of Baroda,19528,233.18,
615,01-03-2012,Bank of India,1766,9.12,
616,01-03-2012,Bank of Maharashtra,117,8.95,
617,01-03-2012,Barclays Bank PLC,1046,32.01,
618,01-03-2012,Canara Bank,2650,87.1,
619,01-03-2012,Catholic Syrian Bank,94,0.6,
620,01-03-2012,Central Bank of India,10,0.13,
621,01-03-2012,Citi Bank,52446,2437.03,
622,01-03-2012,City Union Bank,672,30.96,
623,01-03-2012,Corporation Bank,3080,15.35,
624,01-03-2012,Dena Bank,52,1.63,
625,01-03-2012,Development Credit Bank,284,12.67,
626,01-03-2012,Dhanlaxmi Bank,203,7.39,
627,01-03-2012,Dombivli Nagrik Co-operative Bank,25,0.06,
628,01-03-2012,Federal Bank,4426,55.14,
629,01-03-2012,Greater Bombay Co-operative Bank,56,3.65,
630,01-03-2012,HDFC Bank,30021,234.06,
631,01-03-2012,ICICI Bank,278980,8118.45,
632,01-03-2012,IDBI Bank,849,3.09,
633,01-03-2012,Indian Bank,1169,52.16,
634,01-03-2012,Indian Overseas Bank,1608,42.77,
635,01-03-2012,IndusInd Bank,1592,59.54,
636,01-03-2012,ING Vysya Bank,12,0.53,
637,01-03-2012,Karnataka Bank,3273,2.99,
638,01-03-2012,Karur Vysya Bank,1152,32.41,
639,01-03-2012,Kotak Mahindra Bank,261,14.78,
640,01-03-2012,Lakshmi Vilas Bank,820,11.23,
641,01-03-2012,Oriental Bank of Commerce,649,30.5,
642,01-03-2012,Punjab National Bank,532,13.16,
643,01-03-2012,South Indian Bank,17365,42.49,
644,01-03-2012,State Bank of Bikaner and Jaipur,9347,48.09,
645,01-03-2012,Standard Chartered Bank,6466,73.83,
646,01-03-2012,State Bank of Hyderabad,9456,47.72,
647,01-03-2012,State Bank of India,2560751,10741.87,
648,01-03-2012,State Bank of Mysore,2910,9.76,
649,01-03-2012,State Bank of Patiala,9456,47.72,
650,01-03-2012,State Bank of Travancore,30885,141,
651,01-03-2012,Syndicate Bank,502,10.92,
652,01-03-2012,Tamilnadu Mercantile Bank,801,15.71,
653,01-03-2012,Cosmos Co-operative Bank,45,0.03,
654,01-03-2012,UCO Bank,3348,32.7,
655,01-03-2012,Union Bank of India,28789,181.5,
656,01-03-2012,Vijaya Bank,4067,45.92,
657,01-03-2012,Yes Bank,1707,1.24,
658,01-04-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,27,0.01,
659,01-04-2012,Allahabad Bank,163,3.78,
660,01-04-2012,Andhra Bank,4291,47.09,
661,01-04-2012,Axis Bank,41854,296.48,
662,01-04-2012,Bank of Baroda,17719,246.63,
663,01-04-2012,Bank of India,3859,5.63,
664,01-04-2012,Bank of Maharashtra,151,10.31,
665,01-04-2012,Barclays Bank PLC,897,30.63,
666,01-04-2012,Canara Bank,2497,91.07,
667,01-04-2012,Catholic Syrian Bank,92,4.03,
668,01-04-2012,Central Bank of India,6,0.11,
669,01-04-2012,Citi Bank,54756,2516.35,
670,01-04-2012,City Union Bank,595,21.56,
671,01-04-2012,Corporation Bank,2932,15.39,
672,01-04-2012,Dena Bank,71,5.48,
673,01-04-2012,Development Credit Bank,366,10.91,
674,01-04-2012,Dhanlaxmi Bank,111,4.81,
675,01-04-2012,Dombivli Nagrik Co-operative Bank,40,0.13,
676,01-04-2012,Federal Bank,4077,56.53,
677,01-04-2012,Greater Bombay Co-operative Bank,68,5.15,
678,01-04-2012,HDFC Bank,41893,223.31,
679,01-04-2012,ICICI Bank,278165,8092.25,
680,01-04-2012,IDBI Bank,981,2.81,
681,01-04-2012,Indian Bank,903,46.87,
682,01-04-2012,Indian Overseas Bank,1344,38.89,
683,01-04-2012,IndusInd Bank,1730,63,
684,01-04-2012,ING Vysya Bank,12,0.36,
685,01-04-2012,Karnataka Bank,3928,3.56,
686,01-04-2012,Karur Vysya Bank,1330,43.61,
687,01-04-2012,Kotak Mahindra Bank,185,9.92,
688,01-04-2012,Lakshmi Vilas Bank,714,12.67,
689,01-04-2012,Oriental Bank of Commerce,920,41.89,
690,01-04-2012,Punjab National Bank,387,14.58,
691,01-04-2012,South Indian Bank,18114,53.14,
692,01-04-2012,State Bank of Bikaner and Jaipur,9068,46.25,
693,01-04-2012,Standard Chartered Bank,5854,70.31,
694,01-04-2012,State Bank of Hyderabad,8928,43.52,
695,01-04-2012,State Bank of India,2584132,10707.08,
696,01-04-2012,State Bank of Mysore,2879,9.85,
697,01-04-2012,State Bank of Patiala,8942,37.7,
698,01-04-2012,State Bank of Travancore,32933,135.58,
699,01-04-2012,Syndicate Bank,422,9.21,
700,01-04-2012,Tamilnadu Mercantile Bank,981,20.88,
701,01-04-2012,Cosmos Co-operative Bank,51,0.03,
702,01-04-2012,UCO Bank,3641,32.09,
703,01-04-2012,Union Bank of India,29924,272.6,
704,01-04-2012,Vijaya Bank,4380,52,
705,01-04-2012,Yes Bank,1092,0.74,
706,01-05-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,6,0,
707,01-05-2012,Allahabad Bank,256,5.29,
708,01-05-2012,Andhra Bank,4321,54.93,
709,01-05-2012,Axis Bank,161002,1250.29,
710,01-05-2012,Bank of Baroda,21166,294.73,
711,01-05-2012,Bank of India,424,7.53,
712,01-05-2012,Bank of Maharashtra,208,12.76,
713,01-05-2012,Barclays Bank PLC,572,27,
714,01-05-2012,Canara Bank,2512,97.34,
715,01-05-2012,Catholic Syrian Bank,66,4.47,
716,01-05-2012,Central Bank of India,64,0.07,
717,01-05-2012,Citi Bank,68649,3361.75,
718,01-05-2012,City Union Bank,844,37.28,
719,01-05-2012,Corporation Bank,3329,17.12,
720,01-05-2012,Dena Bank,91,2.67,
721,01-05-2012,Development Credit Bank,512,18.49,
722,01-05-2012,Dhanlaxmi Bank,230,4.99,
723,01-05-2012,Dombivli Nagrik Co-operative Bank,88,0.27,
724,01-05-2012,Federal Bank,4143,59.42,
725,01-05-2012,Greater Bombay Co-operative Bank,19,0.3,
726,01-05-2012,HDFC Bank,50586,282.69,
727,01-05-2012,ICICI Bank,295287,10770.45,
728,01-05-2012,IDBI Bank,902,4.41,
729,01-05-2012,Indian Bank,970,57.81,
730,01-05-2012,Indian Overseas Bank,1425,29.71,
731,01-05-2012,IndusInd Bank,2214,74.15,
732,01-05-2012,ING Vysya Bank,15,1.51,
733,01-05-2012,Karnataka Bank,4294,3.91,
734,01-05-2012,Karur Vysya Bank,1603,64.82,
735,01-05-2012,Kotak Mahindra Bank,300,16.12,
736,01-05-2012,Lakshmi Vilas Bank,752,12.05,
737,01-05-2012,Oriental Bank of Commerce,1228,48.06,
738,01-05-2012,Punjab National Bank,548,20.44,
739,01-05-2012,South Indian Bank,17589,57.78,
740,01-05-2012,State Bank of Bikaner and Jaipur,10564,40.34,
741,01-05-2012,Standard Chartered Bank,5120,74.42,
742,01-05-2012,State Bank of Hyderabad,10183,49.73,
743,01-05-2012,State Bank of India,2585419,11111.25,
744,01-05-2012,State Bank of Mysore,3210,21.99,
745,01-05-2012,State Bank of Patiala,6281,33.04,
746,01-05-2012,State Bank of Travancore,34150,132.24,
747,01-05-2012,Syndicate Bank,496,13.04,
748,01-05-2012,Tamilnadu Mercantile Bank,1161,30.34,
749,01-05-2012,Cosmos Co-operative Bank,6,0.01,
750,01-05-2012,UCO Bank,4040,38.36,
751,01-05-2012,Union Bank of India,31959,309.14,
752,01-05-2012,United Bank of India,1831,35.04,
753,01-05-2012,Vijaya Bank,4968,64.27,
754,01-05-2012,Yes Bank,1140,0.73,
755,01-06-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,14,0,
756,01-06-2012,Allahabad Bank,215,5.74,
757,01-06-2012,Andhra Bank,4453,70.26,
758,01-06-2012,Axis Bank,230112,2415.01,
759,01-06-2012,Bank of Baroda,20304,307.13,
760,01-06-2012,Bank of India,582,6.45,
761,01-06-2012,Bank of Maharashtra,232,1.72,
762,01-06-2012,Barclays Bank PLC,247,14.04,
763,01-06-2012,Canara Bank,1929,103.27,
764,01-06-2012,Catholic Syrian Bank,44,1.55,
765,01-06-2012,Central Bank of India,71,0.51,
766,01-06-2012,Citi Bank,67980,3131.24,
767,01-06-2012,City Union Bank,2070,73.91,
768,01-06-2012,Corporation Bank,3230,14.52,
769,01-06-2012,Dena Bank,108,5.93,
770,01-06-2012,Development Credit Bank,365,18.87,
771,01-06-2012,Dhanlaxmi Bank,104,4.77,
772,01-06-2012,Dombivli Nagrik Co-operative Bank,58,0.06,
773,01-06-2012,Federal Bank,4368,59.39,
774,01-06-2012,Greater Bombay Co-operative Bank,67,9.04,
775,01-06-2012,HDFC Bank,58333,305.58,
776,01-06-2012,ICICI Bank,311745,11503.14,
777,01-06-2012,IDBI Bank,978,5.67,
778,01-06-2012,Indian Bank,1014,55.74,
779,01-06-2012,Indian Overseas Bank,1282,34.04,
780,01-06-2012,IndusInd Bank,2760,100.87,
781,01-06-2012,ING Vysya Bank,10,0.37,
782,01-06-2012,Karnataka Bank,4491,3.93,
783,01-06-2012,Karur Vysya Bank,1672,48.28,
784,01-06-2012,Kotak Mahindra Bank,308,20.42,
785,01-06-2012,Lakshmi Vilas Bank,753,8.69,
786,01-06-2012,Oriental Bank of Commerce,1230,57.52,
787,01-06-2012,Punjab National Bank,613,19.02,
788,01-06-2012,South Indian Bank,16003,56.04,
789,01-06-2012,State Bank of Bikaner and Jaipur,10384,43.27,
790,01-06-2012,Standard Chartered Bank,3950,78.35,
791,01-06-2012,State Bank of Hyderabad,10344,46.44,
792,01-06-2012,State Bank of India,2577383,11283,
793,01-06-2012,State Bank of Mysore,3430,21.52,
794,01-06-2012,State Bank of Patiala,5601,31.57,
795,01-06-2012,State Bank of Travancore,41342,160.03,
796,01-06-2012,Syndicate Bank,397,11.14,
797,01-06-2012,Tamilnadu Mercantile Bank,1571,40.18,
798,01-06-2012,Cosmos Co-operative Bank,14,0,
799,01-06-2012,UCO Bank,4386,45.1,
800,01-06-2012,Union Bank of India,32922,349.82,
801,01-06-2012,United Bank of India,2536,35.61,
802,01-06-2012,Vijaya Bank,5069,62.3,
803,01-07-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,29,0.1,
804,01-07-2012,Allahabad Bank,446,8.67,
805,01-07-2012,Andhra Bank,7775,78.57,
806,01-07-2012,Axis Bank,265777,3575.34,
807,01-07-2012,Bank of Baroda,23291,351.75,
808,01-07-2012,Bank of India,480,8.73,
809,01-07-2012,Bank of Maharashtra,194,16.29,
810,01-07-2012,Canara Bank,1882,81.34,
811,01-07-2012,Catholic Syrian Bank,129,2.49,
812,01-07-2012,Central Bank of India,347,3.41,
813,01-07-2012,Citi Bank,53497,2956.54,
814,01-07-2012,City Union Bank,2603,95.23,
815,01-07-2012,Corporation Bank,3444,18.6,
816,01-07-2012,Dena Bank,78,2.31,
817,01-07-2012,Development Credit Bank,529,18.24,
818,01-07-2012,Dhanlaxmi Bank,165,3.84,
819,01-07-2012,Dombivli Nagrik Co-operative Bank,140,0.27,
820,01-07-2012,Federal Bank,18888,93.3,
821,01-07-2012,Greater Bombay Co-operative Bank,67,3.87,
822,01-07-2012,HDFC Bank,52667,293.92,
823,01-07-2012,ICICI Bank,340167,12515.5,
824,01-07-2012,IDBI Bank,1166,7.4,
825,01-07-2012,Indian Bank,1366,64.16,
826,01-07-2012,Indian Overseas Bank,1501,36.03,
827,01-07-2012,IndusInd Bank,3039,90.22,
828,01-07-2012,ING Vysya Bank,12,0.39,
829,01-07-2012,Karnataka Bank,4842,4.45,
830,01-07-2012,Karur Vysya Bank,1905,60.13,
831,01-07-2012,Kotak Mahindra Bank,375,21.44,
832,01-07-2012,Lakshmi Vilas Bank,11283,132.69,
833,01-07-2012,Oriental Bank of Commerce,1323,73.83,
834,01-07-2012,Punjab and Maharashtra Co-operative Bank,500,0.85,
835,01-07-2012,Punjab National Bank,568,22.78,
836,01-07-2012,South Indian Bank,18036,55.99,
837,01-07-2012,State Bank of Bikaner and Jaipur,11397,80.25,
838,01-07-2012,Standard Chartered Bank,4752,80.6,
839,01-07-2012,State Bank of Hyderabad,10862,55.27,
840,01-07-2012,State Bank of India,2762262,11992.97,
841,01-07-2012,State Bank of Mysore,5020,92.8,
842,01-07-2012,State Bank of Patiala,8711,43.63,
843,01-07-2012,State Bank of Travancore,37192,166.81,
844,01-07-2012,Syndicate Bank,460,8.55,
845,01-07-2012,Tamilnadu Mercantile Bank,2049,45.73,
846,01-07-2012,Thane Janata Co-operative Bank,51,0,
847,01-07-2012,Cosmos Co-operative Bank,48,0,
848,01-07-2012,UCO Bank,4550,46.75,
849,01-07-2012,Union Bank of India,31395,371.31,
850,01-07-2012,United Bank of India,3110,40.46,
851,01-07-2012,Vijaya Bank,5320,73.35,
852,01-08-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,36552,0.82,
853,01-08-2012,Allahabad Bank,4557,18.67,
854,01-08-2012,Andhra Bank,48570,79.25,
855,01-08-2012,Axis Bank,323038,4479.09,
856,01-08-2012,Bank of Baroda,26872,388.31,
857,01-08-2012,Bank of India,389,5.8,
858,01-08-2012,Bank of Maharashtra,172,11.8,
859,01-08-2012,Canara Bank,20295,111.64,
860,01-08-2012,Catholic Syrian Bank,348,0.81,
861,01-08-2012,Central Bank of India,320,2.36,
862,01-08-2012,Citi Bank,50593,3493.38,
863,01-08-2012,City Union Bank,2425,95.56,
864,01-08-2012,Corporation Bank,4602,20.38,
865,01-08-2012,Dena Bank,88,3.64,
866,01-08-2012,Development Credit Bank,429,18.18,
867,01-08-2012,Dhanlaxmi Bank,124,6.09,
868,01-08-2012,Dombivli Nagrik Co-operative Bank,1828,0.75,
869,01-08-2012,Federal Bank,51498,85.77,
870,01-08-2012,Greater Bombay Co-operative Bank,224,4.52,
871,01-08-2012,HDFC Bank,49870,232.89,
872,01-08-2012,ICICI Bank,358688,12591.13,
873,01-08-2012,IDBI Bank,11542,11.62,
874,01-08-2012,Indian Bank,1499,54.88,
875,01-08-2012,Indian Overseas Bank,1548,29.85,
876,01-08-2012,IndusInd Bank,3183,96.88,
877,01-08-2012,ING Vysya Bank,31,0.64,
878,01-08-2012,Jammu and Kashmir Bank,5,0.47,
879,01-08-2012,Karnataka Bank,5049,4.69,
880,01-08-2012,Karur Vysya Bank,2025,59.42,
881,01-08-2012,Kotak Mahindra Bank,248,12.9,
882,01-08-2012,Lakshmi Vilas Bank,11966,152.47,
883,01-08-2012,Oriental Bank of Commerce,1716,75.35,
884,01-08-2012,Punjab and Maharashtra Co-operative Bank,42714,8.1,
885,01-08-2012,Punjab National Bank,663,25.81,
886,01-08-2012,South Indian Bank,27336,55.07,
887,01-08-2012,State Bank of Bikaner and Jaipur,11735,75.97,
888,01-08-2012,Standard Chartered Bank,4398,87.27,
889,01-08-2012,State Bank of Hyderabad,13035,67.59,
890,01-08-2012,State Bank of India,2748885,12174.66,
891,01-08-2012,State Bank of Mysore,5004,31,
892,01-08-2012,State Bank of Patiala,9135,39.93,
893,01-08-2012,State Bank of Travancore,33157,170.73,
894,01-08-2012,Syndicate Bank,546,9.5,
895,01-08-2012,Tamilnadu Mercantile Bank,2040,48.52,
896,01-08-2012,Thane Janata Co-operative Bank,815,0,
897,01-08-2012,Cosmos Co-operative Bank,49,0.05,
898,01-08-2012,UCO Bank,4682,48.05,
899,01-08-2012,Union Bank of India,34872,365.36,
900,01-08-2012,United Bank of India,3884,53.56,
901,01-08-2012,Vijaya Bank,4982,75.08,
902,01-09-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,53,0.5,
903,01-09-2012,Allahabad Bank,1042,30.77,
904,01-09-2012,Andhra Bank,9707,94.04,
905,01-09-2012,Axis Bank,336143,5037.19,
906,01-09-2012,Bank of Baroda,26515,469.67,
907,01-09-2012,Bank of India,309,2.93,
908,01-09-2012,Bank of Maharashtra,199,11,
909,01-09-2012,Canara Bank,3817,96.92,
910,01-09-2012,Catholic Syrian Bank,18,0.59,
911,01-09-2012,Central Bank of India,566,9.15,
912,01-09-2012,Citi Bank,67734,3386.76,
913,01-09-2012,City Union Bank,2185,77.64,
914,01-09-2012,Corporation Bank,3879,23.74,
915,01-09-2012,Dena Bank,124,7.13,
916,01-09-2012,Development Credit Bank,449,21.26,
917,01-09-2012,Dhanlaxmi Bank,112,3.89,
918,01-09-2012,Dombivli Nagrik Co-operative Bank,90,2.98,
919,01-09-2012,Federal Bank,8680,87.64,
920,01-09-2012,Greater Bombay Co-operative Bank,172,5.01,
921,01-09-2012,HDFC Bank,52319,179.99,
922,01-09-2012,ICICI Bank,429771,14853,
923,01-09-2012,IDBI Bank,2629,20.11,
924,01-09-2012,Indian Bank,1768,61.89,
925,01-09-2012,Indian Overseas Bank,998,31.32,
926,01-09-2012,IndusInd Bank,3074,124.64,
927,01-09-2012,ING Vysya Bank,7,0.14,
928,01-09-2012,Jammu and Kashmir Bank,111,1.72,
929,01-09-2012,Karnataka Bank,6115,9.69,
930,01-09-2012,Karur Vysya Bank,2651,78.6,
931,01-09-2012,Kotak Mahindra Bank,308,18.88,
932,01-09-2012,Lakshmi Vilas Bank,12508,169.91,
933,01-09-2012,Oriental Bank of Commerce,1573,86.72,
934,01-09-2012,Punjab and Maharashtra Co-operative Bank,19883,18.62,
935,01-09-2012,Punjab National Bank,927,38.01,
936,01-09-2012,South Indian Bank,17487,28.6,
937,01-09-2012,State Bank of Bikaner and Jaipur,12532,76.87,
938,01-09-2012,Standard Chartered Bank,3694,82.62,
939,01-09-2012,State Bank of Hyderabad,14021,73.66,
940,01-09-2012,State Bank of India,2751449,14772.17,
941,01-09-2012,State Bank of Mysore,7597,52.33,
942,01-09-2012,State Bank of Patiala,9862,48.52,
943,01-09-2012,State Bank of Travancore,32505,154.59,
944,01-09-2012,Syndicate Bank,482,16.41,
945,01-09-2012,Tamilnadu Mercantile Bank,1927,49.53,
946,01-09-2012,Thane Janata Co-operative Bank,123,0.56,
947,01-09-2012,Cosmos Co-operative Bank,38,0.03,
948,01-09-2012,UCO Bank,4976,59.65,
949,01-09-2012,Union Bank of India,35742,430.65,
950,01-09-2012,United Bank of India,3403,58.42,
951,01-09-2012,Vijaya Bank,5340,78.53,
952,01-10-2012,Andhra Pradesh Mahesh Co-operative Urban Bank,12,0.28,
953,01-10-2012,Allahabad Bank,1221,46.2,
954,01-10-2012,Andhra Bank,9459,135.48,
955,01-10-2012,Axis Bank,406109,5697.26,
956,01-10-2012,Bank of Baroda,28644,566.29,
957,01-10-2012,Bank of India,390,5.04,
958,01-10-2012,Bank of Maharashtra,220,13.79,
959,01-10-2012,Canara Bank,3532,110.85,
960,01-10-2012,Catholic Syrian Bank,37,4.95,
961,01-10-2012,Central Bank of India,364,14.45,
962,01-10-2012,Citi Bank,133614,5044.58,
963,01-10-2012,City Union Bank,4886,98.31,
964,01-10-2012,Corporation Bank,4206,26.57,
965,01-10-2012,Dena Bank,95,3.6,
966,01-10-2012,Development Credit Bank,482,17.23,
967,01-10-2012,Dhanlaxmi Bank,113,5.14,
968,01-10-2012,Dombivli Nagrik Co-operative Bank,100,1.37,
969,01-10-2012,Federal Bank,5699,87.19,
970,01-10-2012,Greater Bombay Co-operative Bank,113,6,
971,01-10-2012,HDFC Bank,60748,190.61,
972,01-10-2012,ICICI Bank,561339,17306.24,
973,01-10-2012,IDBI Bank,1767,24.76,
974,01-10-2012,Indian Bank,2230,62.66,
975,01-10-2012,Indian Overseas Bank,823,32.95,
976,01-10-2012,IndusInd Bank,3570,147.57,
977,01-10-2012,ING Vysya Bank,1,0,
978,01-10-2012,Jammu and Kashmir Bank,139,5.41,
979,01-10-2012,Janta Co-operative Bank Pune,27,0.42,
980,01-10-2012,Karnataka Bank,9250,61.04,
981,01-10-2012,Karur Vysya Bank,2651,73.56,
982,01-10-2012,Kotak Mahindra Bank,405,23.36,
983,01-10-2012,Lakshmi Vilas Bank,13156,189.52,
984,01-10-2012,Oriental Bank of Commerce,1894,105.61,
985,01-10-2012,Punjab and Maharashtra Co-operative Bank,9266,18.13,
986,01-10-2012,Punjab National Bank,983,37.1,
987,01-10-2012,South Indian Bank,18930,55.34,
